SSN,name,age,gender,department
000-00-0000,A,20,M,IT
000-00-0001,B,21,M,IT
000-00-0002,C,22,M,IT
000-00-0003,D,21,M,IT
000-00-0004,AA,22,M,IT
000-00-0005,AB,19,F,HR
000-00-0006,AC,31,M,HR
000-00-0007,AD,18,F,HR
000-00-0008,BA,34,M,HR
000-00-0009,BB,31,M,HR
000-00-0010,BC,22,F,Marketing
000-00-0011,BD,41,F,Marketing
000-00-0012,CA,28,F,Marketing
000-00-0013,CB,31,M,Marketing
000-00-0014,CC,27,M,Marketing
000-00-0015,CD,26,M,FINANCE
000-00-0016,DA,26,M,FINANCE
000-00-0017,DB,21,M,FINANCE
000-00-0018,DC,22,M,FINANCE
000-00-0019,DD,23,M,FINANCE
